complaint_id,product,issue,company,state,city,zip_code,status,date_received,date_sent_to_company,response_time_days,timely_response?,consumer_disputed?,company_response_to_consumer
100000,Mortgage,,Metro Loans,Ny,New York,75285.0,Closed,2023-11-10,2024-01-01,52,N,,
100001,Mortgage,Collection Harassment,Nan,Fl,Miami,43383.0,Resolved,2023-03-12,2023-03-21,9,,N,
100002,,Other,Nan,Ny,,43864.0,Closed,2023-10-20,2023-11-27,38,FALSE,,
100003,Student  Loan,Fees,Metro Loans,Ga,New York,,,2023-02-17,2023-03-13,24,,No,
100004,Credit Card,Collection Harassment,United Credit,Pa,New York,62086.0,,2023-11-21,2023-11-23,2,Yes,,
100005,Mortgage,Fees,Acme Bank,Ca,Miami,93641.0,Open,2023-11-11,2023-12-22,41,FALSE,Y,Closed with explanation
100006,Mortgage,Other,Metro Loans,Mi,Nan,73944.0,Resolved,2023-02-12,2023-04-02,49,,No,In progress
100007,Mortgage,Incorrect Information,Northstar Finance,Tx,Detroit,89667.0,,2024-01-14,2024-02-15,32,No,Y,
100008,Credit  Card,Incorrect Information,Metro Loans,Il,Nan,,Open,2023-07-27,2023-08-02,6,FALSE,No,
100009,Credit Reporting,Incorrect Information,,,Chicago,94435.0,,2024-01-29,2024-02-03,5,No,TRUE,
100010,Debt Collection,Other,Metro Loans,Ny,Miami,94980.0,Resolved,2023-01-21,2023-02-12,22,,No,In progress
100011,Debt Collection,Fees,,Fl,Nan,13669.0,Resolved,2023-03-31,2023-04-27,27,,No,
100012,Debt Collection,Billing Disputes,Acme Bank,Il,Nan,,Open,2023-09-04,2023-10-04,30,Yes,FALSE,In progress
100013,Mortgage,Fees,Metro Loans,Fl,Philadelphia,47743.0,In Progress,2023-06-14,2023-07-11,27,N,N,In progress
100015,Mortgage,Collection Harassment,Acme Bank,,Miami,80055.0,Open,2023-11-27,2023-12-11,14,,FALSE,Closed with explanation
100016,Mortgage,Incorrect Information,Nan,Ny,Atlanta,72865.0,,2023-03-14,2023-04-22,39,Y,N,In progress
100017,Mortgage,Fees,,,Nan,29159.0,Resolved,2023-12-05,2024-01-20,46,FALSE,Yes,Closed
100018,Credit Card,Collection Harassment,Finserv Co,Ga,Nan,64790.0,,2023-02-21,2023-03-30,37,Yes,No,Closed with explanation
100019,Bank Account,Fees,Metro Loans,Ny,Columbus,,Open,2023-03-29,2023-03-24,-5,No,,
100020,Credit Card,Other,Finserv Co,Ca,Miami,49610.0,,2023-10-21,2023-12-19,59,,,
100021,Mortgage,Fees,Northstar Finance,Ca,Nan,93538.0,Resolved,2024-02-01,2024-01-28,-4,N,Y,Closed with explanation
100022,Credit  Card,Collection Harassment,United Credit,Il,Atlanta,68476.0,Resolved,2023-03-27,2023-05-25,59,,,
100023,Mortgage,Collection Harassment,Finserv Co,Il,Columbus,,Closed,2023-05-30,2023-05-27,-3,,Yes,
100024,Student Loan,Fees,Northstar Finance,Nc,New York,,,2024-04-07,2024-05-05,28,,Yes,Closed with explanation
100025,Bank Account,Billing Disputes,Nan,Il,,11500.0,Closed,2024-05-09,2024-05-10,1,Yes,,
100026,Credit Reporting,Incorrect Information,Northstar Finance,Nan,Houston,,,2023-10-18,2023-10-19,1,No,FALSE,Closed
100027,Mortgage,Billing Disputes,United Credit,Il,Nan,,In Progress,2023-08-12,2023-09-20,39,FALSE,TRUE,
100028,Credit Reporting,Fees,Metro Loans,Fl,Columbus,,In Progress,2023-06-23,2023-08-04,42,,Y,
100029,Credit Card,Billing Disputes,United Credit,Fl,New York,82720.0,Resolved,2023-11-03,2023-11-05,2,,,Closed with explanation
100030,Debt  Collection,Fees,Finserv Co,Il,Miami,,Open,2023-10-23,2023-12-20,58,FALSE,TRUE,
100031,,Incorrect Information,Finserv Co,,Atlanta,,In Progress,2023-05-28,2023-06-12,15,Yes,N,Closed with explanation
100032,Bank Account,Billing Disputes,Metro Loans,Fl,New York,47745.0,Closed,2023-01-12,2023-01-27,15,FALSE,N,
100033,Credit Reporting,,Metro Loans,Fl,Detroit,37267.0,,2023-03-17,2023-03-31,14,Y,Y,Closed
100034,Mortgage,Fees,Acme Bank,,Houston,59843.0,In Progress,2024-04-24,2024-05-18,24,,TRUE,In progress
100035,Credit Card,Billing Disputes,Northstar Finance,Mi,Atlanta,,Open,2023-07-29,2023-08-04,6,TRUE,FALSE,
100036,Student Loan,Other,Acme Bank,Tx,Chicago,13977.0,Open,2023-08-30,2023-09-21,22,No,,
100037,Credit Card,Collection Harassment,,Nan,Miami,49342.0,,2023-08-22,2023-08-30,8,,N,
100038,Student Loan,Collection Harassment,Northstar Finance,Tx,Los Angeles,,Open,2024-01-27,2024-01-25,-2,,Y,Closed with explanation
100039,Student Loan,Identity Theft,United Credit,Tx,Miami,38347.0,Open,2023-02-02,2023-02-20,18,TRUE,TRUE,Closed
100040,Credit Reporting,Collection Harassment,,Oh,Houston,,Closed,2023-02-11,2023-03-21,38,,TRUE,
100041,,Fees,Nan,Mi,Detroit,24761.0,Closed,2023-05-18,2023-07-01,44,Yes,Y,Closed with explanation
100042,Credit Reporting,Incorrect Information,Nan,Tx,Columbus,35433.0,Open,2023-09-01,2023-09-18,17,Y,Yes,In progress
100043,Credit  Card,Billing Disputes,Acme Bank,Nan,Philadelphia,36889.0,,2023-12-02,2023-12-18,16,No,Y,Closed
100044,Debt Collection,Fees,Metro Loans,Tx,Los Angeles,33336.0,Open,2023-09-03,2023-10-19,46,Y,Yes,Closed
100045,Nan,Collection Harassment,Metro Loans,Nan,Chicago,40930.0,,2023-08-09,2023-09-17,39,N,Yes,
100046,Nan,Billing Disputes,United Credit,Ca,Miami,,,2024-04-13,2024-06-01,49,N,,
100047,Student Loan,Billing Disputes,,Oh,Columbus,71273.0,Resolved,2023-03-22,2023-05-14,53,Y,,
